******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 23:33:52 CDT 2010  48        14.05 10.55 5.57 13/224 8072        800000        userspace
Thu Apr 22 23:33:57 CDT 2010  48        13.89 10.58 5.60 13/224 8078        800000        userspace
Thu Apr 22 23:34:02 CDT 2010  48        13.74 10.60 5.64 13/225 8086        800000        userspace
Thu Apr 22 23:34:08 CDT 2010  48        13.68 10.64 5.68 15/225 8092        800000        userspace
Thu Apr 22 23:34:13 CDT 2010  48        13.46 10.64 5.71 14/225 8098        800000        userspace
Thu Apr 22 23:34:18 CDT 2010  48        13.34 10.67 5.74 12/225 8105        800000        userspace
Thu Apr 22 23:34:24 CDT 2010  48        13.48 10.74 5.79 16/228 8115        800000        userspace
Thu Apr 22 23:34:29 CDT 2010  48        13.76 10.84 5.85 14/227 8128        800000        userspace
Thu Apr 22 23:34:35 CDT 2010  48        13.70 10.88 5.89 13/227 8134        800000        userspace
Thu Apr 22 23:34:40 CDT 2010  48        13.88 10.96 5.94 12/227 8141        800000        userspace
Thu Apr 22 23:34:45 CDT 2010  48        13.89 11.01 5.98 13/227 8147        800000        userspace
Thu Apr 22 23:34:51 CDT 2010  48        14.06 11.10 6.04 14/228 8154        800000        userspace
Thu Apr 22 23:34:56 CDT 2010  48        14.74 11.34 6.17 12/234 8167        800000        userspace
Thu Apr 22 23:35:01 CDT 2010  48        15.00 11.45 6.23 14/227 8173        800000        userspace
Thu Apr 22 23:35:07 CDT 2010  48        14.76 11.46 6.27 15/227 8180        800000        userspace
Thu Apr 22 23:35:12 CDT 2010  48        14.46 11.45 6.29 13/227 8186        800000        userspace
Thu Apr 22 23:35:17 CDT 2010  48        14.18 11.44 6.32 13/227 8193        800000        userspace
Thu Apr 22 23:35:23 CDT 2010  48        13.93 11.43 6.34 14/227 8199        800000        userspace
Thu Apr 22 23:35:28 CDT 2010  48        13.77 11.44 6.37 13/227 8205        800000        userspace
Thu Apr 22 23:35:33 CDT 2010  48        13.95 11.52 6.42 14/227 8211        600000        userspace
Thu Apr 22 23:35:39 CDT 2010  48        14.19 11.61 6.48 13/227 8218        600000        userspace
Thu Apr 22 23:35:44 CDT 2010  48        14.10 11.63 6.51 12/227 8224        600000        userspace
