******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Fri Apr 23 09:37:37 PDT 2010  21        7.08 2.63 0.97 10/174 19457        500000        userspace
Fri Apr 23 09:37:39 PDT 2010  21        7.15 2.72 1.01 10/174 19463        500000        userspace
Fri Apr 23 09:37:40 PDT 2010  21        7.15 2.72 1.01 10/174 19469        500000        userspace
Fri Apr 23 09:37:41 PDT 2010  21        7.15 2.72 1.01 10/174 19475        500000        userspace
Fri Apr 23 09:37:42 PDT 2010  21        7.15 2.72 1.01 10/174 19481        500000        userspace
Fri Apr 23 09:37:44 PDT 2010  21        7.22 2.81 1.05 10/174 19487        500000        userspace
Fri Apr 23 09:37:45 PDT 2010  21        7.22 2.81 1.05 11/174 19493        500000        userspace
Fri Apr 23 09:37:46 PDT 2010  21        7.22 2.81 1.05 10/174 19499        500000        userspace
Fri Apr 23 09:37:48 PDT 2010  21        7.22 2.81 1.05 10/174 19505        500000        userspace
Fri Apr 23 09:37:49 PDT 2010  21        7.28 2.89 1.09 10/174 19511        500000        userspace
Fri Apr 23 09:37:50 PDT 2010  21        7.28 2.89 1.09 10/174 19517        500000        userspace
Fri Apr 23 09:37:51 PDT 2010  21        7.28 2.89 1.09 10/174 19523        500000        userspace
Fri Apr 23 09:37:53 PDT 2010  21        7.28 2.89 1.09 10/174 19529        500000        userspace
Fri Apr 23 09:37:54 PDT 2010  21        7.34 2.98 1.12 10/174 19535        500000        userspace
Fri Apr 23 09:37:55 PDT 2010  21        7.34 2.98 1.12 10/174 19541        500000        userspace
Fri Apr 23 09:37:56 PDT 2010  21        7.34 2.98 1.12 10/174 19547        500000        userspace
Fri Apr 23 09:37:58 PDT 2010  21        7.34 2.98 1.12 11/174 19553        500000        userspace
Fri Apr 23 09:37:59 PDT 2010  21        7.63 3.11 1.18 10/174 19559        500000        userspace
Fri Apr 23 09:38:00 PDT 2010  21        7.63 3.11 1.18 10/174 19565        500000        userspace
Fri Apr 23 09:38:02 PDT 2010  21        7.63 3.11 1.18 10/174 19574        500000        userspace
Fri Apr 23 09:38:03 PDT 2010  21        7.63 3.11 1.18 11/174 19580        500000        userspace
Fri Apr 23 09:38:04 PDT 2010  21        7.90 3.24 1.23 10/174 19586        500000        userspace
Fri Apr 23 09:38:05 PDT 2010  21        7.90 3.24 1.23 10/174 19592        500000        userspace
Fri Apr 23 09:38:07 PDT 2010  21        7.90 3.24 1.23 10/174 19598        500000        userspace
Fri Apr 23 09:38:08 PDT 2010  21        7.90 3.24 1.23 10/174 19604        500000        userspace
Fri Apr 23 09:38:09 PDT 2010  21        8.23 3.39 1.29 10/174 19610        500000        userspace
Fri Apr 23 09:38:10 PDT 2010  21        8.23 3.39 1.29 10/174 19616        500000        userspace
Fri Apr 23 09:38:12 PDT 2010  21        8.23 3.39 1.29 10/174 19622        500000        userspace
Fri Apr 23 09:38:13 PDT 2010  21        8.23 3.39 1.29 10/174 19628        500000        userspace
Fri Apr 23 09:38:14 PDT 2010  21        8.53 3.53 1.34 10/174 19634        500000        userspace
Fri Apr 23 09:38:16 PDT 2010  21        8.53 3.53 1.34 10/174 19640        500000        userspace
Fri Apr 23 09:38:17 PDT 2010  21        8.53 3.53 1.34 10/174 19646        500000        userspace
Fri Apr 23 09:38:18 PDT 2010  21        8.57 3.62 1.39 10/174 19652        500000        userspace
Fri Apr 23 09:38:20 PDT 2010  21        8.57 3.62 1.39 11/175 19659        500000        userspace
Fri Apr 23 09:38:21 PDT 2010  21        8.57 3.62 1.39 11/175 19665        500000        userspace
Fri Apr 23 09:38:22 PDT 2010  21        8.57 3.62 1.39 10/175 19671        500000        userspace
Fri Apr 23 09:38:23 PDT 2010  21        8.52 3.69 1.42 10/175 19677        500000        userspace
Fri Apr 23 09:38:25 PDT 2010  21        8.52 3.69 1.42 10/175 19683        500000        userspace
Fri Apr 23 09:38:26 PDT 2010  21        8.52 3.69 1.42 11/175 19689        500000        userspace
Fri Apr 23 09:38:27 PDT 2010  21        8.52 3.69 1.42 11/175 19695        500000        userspace
Fri Apr 23 09:38:28 PDT 2010  21        8.48 3.76 1.46 10/175 19701        500000        userspace
Fri Apr 23 09:38:30 PDT 2010  21        8.48 3.76 1.46 10/175 19707        500000        userspace
Fri Apr 23 09:38:31 PDT 2010  21        8.48 3.76 1.46 10/175 19713        500000        userspace
Fri Apr 23 09:38:32 PDT 2010  21        8.48 3.76 1.46 10/175 19719        500000        userspace
Fri Apr 23 09:38:34 PDT 2010  21        8.76 3.90 1.51 10/175 19725        500000        userspace
Fri Apr 23 09:38:35 PDT 2010  21        8.76 3.90 1.51 11/175 19731        500000        userspace
Fri Apr 23 09:38:36 PDT 2010  21        8.76 3.90 1.51 10/175 19737        500000        userspace
Fri Apr 23 09:38:38 PDT 2010  21        8.76 3.90 1.51 10/175 19743        500000        userspace
Fri Apr 23 09:38:39 PDT 2010  21        8.70 3.97 1.55 11/175 19749        500000        userspace
Fri Apr 23 09:38:40 PDT 2010  21        8.70 3.97 1.55 11/175 19755        500000        userspace
Fri Apr 23 09:38:42 PDT 2010  21        8.70 3.97 1.55 10/175 19761        500000        userspace
Fri Apr 23 09:38:43 PDT 2010  21        8.70 3.97 1.55 11/175 19767        500000        userspace
Fri Apr 23 09:38:44 PDT 2010  21        8.89 4.09 1.60 10/175 19773        500000        userspace
Fri Apr 23 09:38:46 PDT 2010  21        8.89 4.09 1.60 10/175 19779        500000        userspace
Fri Apr 23 09:38:47 PDT 2010  21        8.89 4.09 1.60 10/175 19785        500000        userspace
Fri Apr 23 09:38:48 PDT 2010  21        8.89 4.09 1.60 10/175 19791        500000        userspace
Fri Apr 23 09:38:49 PDT 2010  21        8.89 4.17 1.64 10/175 19797        500000        userspace
Fri Apr 23 09:38:51 PDT 2010  21        8.89 4.17 1.64 11/175 19803        500000        userspace
Fri Apr 23 09:38:52 PDT 2010  21        8.89 4.17 1.64 10/175 19809        500000        userspace
Fri Apr 23 09:38:53 PDT 2010  21        8.89 4.17 1.64 10/175 19815        500000        userspace
Fri Apr 23 09:38:54 PDT 2010  21        9.06 4.28 1.69 10/175 19821        500000        userspace
Fri Apr 23 09:38:56 PDT 2010  21        9.06 4.28 1.69 10/175 19827        500000        userspace
Fri Apr 23 09:38:57 PDT 2010  21        9.06 4.28 1.69 11/175 19833        500000        userspace
Fri Apr 23 09:38:58 PDT 2010  21        9.06 4.28 1.69 11/175 19839        500000        userspace
Fri Apr 23 09:38:59 PDT 2010  21        9.06 4.36 1.73 11/175 19845        500000        userspace
Fri Apr 23 09:39:01 PDT 2010  21        9.06 4.36 1.73 10/175 19851        500000        userspace
Fri Apr 23 09:39:02 PDT 2010  21        9.06 4.36 1.73 10/175 19860        500000        userspace
Fri Apr 23 09:39:03 PDT 2010  21        9.13 4.45 1.77 10/175 19866        500000        userspace
Fri Apr 23 09:39:05 PDT 2010  21        9.13 4.45 1.77 10/175 19872        500000        userspace
Fri Apr 23 09:39:06 PDT 2010  21        9.13 4.45 1.77 10/175 19878        500000        userspace
Fri Apr 23 09:39:07 PDT 2010  21        9.13 4.45 1.77 11/175 19884        500000        userspace
Fri Apr 23 09:39:08 PDT 2010  21        9.12 4.53 1.81 10/175 19890        500000        userspace
Fri Apr 23 09:39:10 PDT 2010  21        9.12 4.53 1.81 11/175 19896        500000        userspace
Fri Apr 23 09:39:11 PDT 2010  21        9.12 4.53 1.81 10/175 19902        500000        userspace
Fri Apr 23 09:39:12 PDT 2010  21        9.12 4.53 1.81 10/175 19908        500000        userspace
Fri Apr 23 09:39:13 PDT 2010  21        9.11 4.60 1.85 10/175 19914        500000        userspace
Fri Apr 23 09:39:15 PDT 2010  21        9.11 4.60 1.85 11/175 19920        500000        userspace
Fri Apr 23 09:39:16 PDT 2010  21        9.11 4.60 1.85 10/175 19926        500000        userspace
Fri Apr 23 09:39:17 PDT 2010  21        9.11 4.60 1.85 10/175 19932        500000        userspace
Fri Apr 23 09:39:19 PDT 2010  21        9.02 4.66 1.88 10/175 19938        500000        userspace
Fri Apr 23 09:39:20 PDT 2010  21        9.02 4.66 1.88 10/175 19944        500000        userspace
Fri Apr 23 09:39:21 PDT 2010  21        9.02 4.66 1.88 10/175 19950        500000        userspace
Fri Apr 23 09:39:23 PDT 2010  21        9.02 4.66 1.88 10/175 19956        500000        userspace
Fri Apr 23 09:39:24 PDT 2010  21        9.02 4.73 1.92 10/175 19962        500000        userspace
Fri Apr 23 09:39:25 PDT 2010  21        9.02 4.73 1.92 10/175 19968        500000        userspace
Fri Apr 23 09:39:26 PDT 2010  21        9.02 4.73 1.92 11/175 19974        500000        userspace
Fri Apr 23 09:39:28 PDT 2010  21        9.02 4.73 1.92 10/175 19980        500000        userspace
Fri Apr 23 09:39:29 PDT 2010  21        9.02 4.80 1.96 10/175 19986        500000        userspace
Fri Apr 23 09:39:30 PDT 2010  21        9.02 4.80 1.96 10/175 19992        500000        userspace
Fri Apr 23 09:39:32 PDT 2010  21        9.02 4.80 1.96 10/175 19998        500000        userspace
Fri Apr 23 09:39:33 PDT 2010  21        9.02 4.80 1.96 11/175 20004        500000        userspace
Fri Apr 23 09:39:34 PDT 2010  21        9.02 4.87 1.99 10/175 20010        500000        userspace
Fri Apr 23 09:39:35 PDT 2010  21        9.02 4.87 1.99 11/175 20016        500000        userspace
Fri Apr 23 09:39:37 PDT 2010  21        9.02 4.87 1.99 12/177 20026        500000        userspace
Fri Apr 23 09:39:38 PDT 2010  21        9.02 4.87 1.99 11/178 20034        500000        userspace
Fri Apr 23 09:39:39 PDT 2010  21        9.18 4.97 2.04 10/178 20040        500000        userspace
Fri Apr 23 09:39:41 PDT 2010  21        9.18 4.97 2.04 10/178 20046        500000        userspace
Fri Apr 23 09:39:42 PDT 2010  21        9.18 4.97 2.04 10/177 20052        500000        userspace
Fri Apr 23 09:39:43 PDT 2010  21        9.18 4.97 2.04 10/177 20058        500000        userspace
Fri Apr 23 09:39:44 PDT 2010  21        9.16 5.04 2.08 10/177 20064        500000        userspace
Fri Apr 23 09:39:46 PDT 2010  21        9.16 5.04 2.08 10/177 20070        500000        userspace
Fri Apr 23 09:39:47 PDT 2010  21        9.16 5.04 2.08 10/177 20076        500000        userspace
Fri Apr 23 09:39:48 PDT 2010  21        9.15 5.10 2.12 10/177 20082        500000        userspace
Fri Apr 23 09:39:50 PDT 2010  21        9.15 5.10 2.12 11/179 20091        500000        userspace
Fri Apr 23 09:39:51 PDT 2010  21        9.15 5.10 2.12 10/177 20099        500000        userspace
Fri Apr 23 09:39:52 PDT 2010  21        9.15 5.10 2.12 10/177 20105        500000        userspace
Fri Apr 23 09:39:54 PDT 2010  21        9.06 5.15 2.15 10/177 20111        500000        userspace
Fri Apr 23 09:39:55 PDT 2010  21        9.06 5.15 2.15 10/177 20117        500000        userspace
Fri Apr 23 09:39:57 PDT 2010  21        9.06 5.15 2.15 12/179 20125        500000        userspace
Fri Apr 23 09:39:58 PDT 2010  21        9.13 5.23 2.19 11/174 20131        500000        userspace
Fri Apr 23 09:40:00 PDT 2010  21        9.13 5.23 2.19 10/174 20137        500000        userspace
Fri Apr 23 09:40:01 PDT 2010  21        9.13 5.23 2.19 10/174 20143        500000        userspace
Fri Apr 23 09:40:02 PDT 2010  21        9.13 5.23 2.19 10/174 20152        500000        userspace
Fri Apr 23 09:40:03 PDT 2010  21        9.20 5.31 2.23 10/174 20158        500000        userspace
Fri Apr 23 09:40:05 PDT 2010  21        9.20 5.31 2.23 10/174 20166        500000        userspace
Fri Apr 23 09:40:06 PDT 2010  21        9.20 5.31 2.23 10/174 20172        500000        userspace
Fri Apr 23 09:40:07 PDT 2010  21        9.20 5.31 2.23 11/174 20178        500000        userspace
Fri Apr 23 09:40:09 PDT 2010  21        9.10 5.35 2.26 11/174 20184        500000        userspace
Fri Apr 23 09:40:10 PDT 2010  21        9.10 5.35 2.26 10/174 20190        500000        userspace
Fri Apr 23 09:40:11 PDT 2010  21        9.10 5.35 2.26 10/174 20198        500000        userspace
Fri Apr 23 09:40:13 PDT 2010  21        9.10 5.35 2.26 13/174 20204        500000        userspace
Fri Apr 23 09:40:14 PDT 2010  21        9.10 5.41 2.30 10/174 20210        500000        userspace
Fri Apr 23 09:40:15 PDT 2010  21        9.10 5.41 2.30 11/174 20216        500000        userspace
Fri Apr 23 09:40:16 PDT 2010  21        9.10 5.41 2.30 10/174 20222        500000        userspace
Fri Apr 23 09:40:18 PDT 2010  21        9.10 5.41 2.30 10/176 20230        500000        userspace
Fri Apr 23 09:40:19 PDT 2010  21        9.01 5.46 2.33 10/174 20236        500000        userspace
Fri Apr 23 09:40:20 PDT 2010  21        9.01 5.46 2.33 10/174 20243        500000        userspace
Fri Apr 23 09:40:21 PDT 2010  21        9.01 5.46 2.33 10/174 20249        500000        userspace
Fri Apr 23 09:40:23 PDT 2010  21        9.01 5.46 2.33 10/174 20255        500000        userspace
Fri Apr 23 09:40:24 PDT 2010  21        8.93 5.50 2.36 11/176 20263        500000        userspace
Fri Apr 23 09:40:25 PDT 2010  21        8.93 5.50 2.36 10/174 20269        500000        userspace
Fri Apr 23 09:40:27 PDT 2010  21        8.93 5.50 2.36 10/174 20275        500000        userspace
Fri Apr 23 09:40:28 PDT 2010  21        8.93 5.50 2.36 11/174 20281        500000        userspace
Fri Apr 23 09:40:29 PDT 2010  21        9.09 5.59 2.40 10/174 20287        500000        userspace
Fri Apr 23 09:40:31 PDT 2010  21        9.09 5.59 2.40 11/176 20295        500000        userspace
Fri Apr 23 09:40:32 PDT 2010  21        9.09 5.59 2.40 10/174 20301        500000        userspace
Fri Apr 23 09:40:33 PDT 2010  21        9.09 5.59 2.40 10/174 20307        500000        userspace
Fri Apr 23 09:40:34 PDT 2010  21        9.32 5.70 2.46 10/174 20313        500000        userspace
Fri Apr 23 09:40:36 PDT 2010  21        9.32 5.70 2.46 11/174 20319        500000        userspace
Fri Apr 23 09:40:37 PDT 2010  21        9.32 5.70 2.46 11/176 20327        500000        userspace
Fri Apr 23 09:40:39 PDT 2010  21        9.46 5.78 2.50 10/174 20333        500000        userspace
Fri Apr 23 09:40:40 PDT 2010  21        9.46 5.78 2.50 10/174 20339        500000        userspace
Fri Apr 23 09:40:41 PDT 2010  21        9.46 5.78 2.50 10/174 20345        500000        userspace
Fri Apr 23 09:40:42 PDT 2010  21        9.46 5.78 2.50 10/174 20351        500000        userspace
Fri Apr 23 09:40:44 PDT 2010  21        9.58 5.87 2.55 11/176 20359        500000        userspace
Fri Apr 23 09:40:45 PDT 2010  21        9.58 5.87 2.55 11/174 20365        500000        userspace
Fri Apr 23 09:40:46 PDT 2010  21        9.58 5.87 2.55 10/174 20371        500000        userspace
